V;Avg,I;Avg
12.56,49.9267
12.56,49.9967
12.55,50.0033
12.55,49.9733
12.54,50.0967
12.53,50.0700
12.52,50.0667
12.52,50.1567
12.52,50.1967
12.51,50.2100
12.51,50.2067
12.51,50.3433
12.51,50.4033
12.51,50.5667
12.50,50.6733
12.50,50.6333
12.50,50.7100
12.49,50.8033
12.48,50.7833
12.48,50.7100
12.48,50.8000
12.47,50.9100
12.47,50.9167
12.46,50.8900
12.46,50.8733
12.46,50.7633
12.45,50.7433
12.44,50.7500
12.43,50.8167
12.42,50.7633
12.42,50.8933
12.41,50.8633
12.41,50.9867
12.41,50.9700
12.41,51.0567
12.41,51.0433
12.40,59.6233
12.38,72.7500
12.55,50.3300
12.64,49.8533
12.70,49.5167
12.69,58.1433
12.56,85.6733
12.46,85.5800
12.42,85.9733
12.54,85.2067
12.74,83.8833
12.88,82.8233
12.92,82.6133
12.82,84.9067
12.63,84.4267
12.50,85.4733
12.42,86.0300
12.34,86.4467
12.39,55.1600
12.41,51.2133
12.40,51.3233
12.42,51.1100
12.44,50.9500
12.45,50.9700
12.46,51.1100
12.42,51.0067
12.40,51.1767
12.29,77.9117
12.16,102.2467
12.19,101.7533
12.25,101.5233
12.27,101.0400
12.35,100.3033
12.77,96.9167
13.15,94.0933
13.16,94.1433
13.48,92.0133
13.97,88.5233
13.86,88.8533
13.77,89.4400
13.59,90.6100
13.57,98.7933
13.50,124.2500
13.50,123.4433
13.47,123.7400
13.41,124.0967
13.42,123.7900
13.34,124.4600
13.32,124.4333
13.32,124.3633
13.28,124.7367
13.29,124.6167
13.35,123.9967
13.20,125.1500
13.28,95.1050
13.29,91.2233
13.29,91.2133
13.17,92.1633
13.10,92.6100
13.13,92.0700
13.12,92.3467
13.14,92.1333
13.11,92.4000
13.14,92.1500
13.28,90.9900
13.17,91.6400
13.14,91.8667
13.21,91.2267
13.33,90.4633
13.43,89.8467
13.48,89.4600
13.43,89.7833
13.29,90.8900
13.01,92.8500
12.81,94.3333
12.65,95.5933
12.58,96.4067
12.56,96.6933
12.52,97.2133
12.49,98.1167
12.47,98.4233
12.45,98.5467
12.43,98.5433
12.42,98.7800
12.41,99.0067
12.40,99.0333
12.39,98.9900
12.38,99.2200
12.36,99.4400
12.34,99.8500
12.31,100.1167
12.28,100.4100
12.26,100.4367
12.24,100.5433
12.23,100.4233
12.22,100.5367
12.22,100.5500
12.22,100.6000
12.21,100.5933
12.21,100.6367
12.21,100.6800
12.21,100.6667
12.21,100.7333
12.21,100.6267
12.21,100.7500
12.21,100.7933
12.21,100.7333
12.21,100.7733
